Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
2,3,20210719,,4,Unfurnished,8500000,Prime Residency,Apartment,,Resale,Owner,domcache_srp_53209639
2,2,20210624,Janapriya Engineers Syndicate,Ground,Semi-Furnished,4000000,Janapriya Lakefront,Apartment,,Resale,Owner,domcache_srp_53235925
3,3,20210605,Samsri Constructions,3,Unfurnished,7000000,Sanali Castle,Apartment,,Resale,Owner,domcache_srp_51037662
2,2,20210605,,4,Unfurnished,6200000,,Apartment,,Resale,Owner,domcache_srp_51144672
2,2,20210605,,4,Unfurnished,6400000,Tangrilla Apartment By Aryamitra,Apartment,,Resale,Owner,domcache_srp_52905213
3,3,20210605,,5,Unfurnished,9500000,,Apartment,,Resale,Owner,domcache_srp_45424709
1,1,20210729,,,Semi-Furnished,5000000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_48991937
2,2,20210729,,3,Unfurnished,3999000,,Apartment,,Resale,Owner,domcache_srp_47962107
2,2,20210721,Siddivinayaka Constructions,Ground,Unfurnished,4100000,Siddivinayaka Heights,Apartment,,Resale,Owner,domcache_srp_56020165
2,1,20210605,,Ground,Unfurnished,3300000,,Residential House,,Resale,Owner,domcache_srp_55302077
1,2,20210723,,2,Unfurnished,3000000,,Apartment,,Resale,Owner,domcache_srp_54943943
2,2,20210723,,2,Unfurnished,5200000,,Apartment,,Resale,Owner,domcache_srp_54957113
3,3,20210424,,1,Semi-Furnished,5500000,,Apartment,,Resale,Owner,domcache_srp_54931817
2,2,20210720,,2,Unfurnished,4500000,Sabirs Olivia,Apartment,,Resale,Owner,domcache_srp_54329943
2,2,20210623,Sai Priya Constructions Ltd,2,Semi-Furnished,4200000,Shiridi Hills,Apartment,,New Property,Owner,domcache_srp_52759597
2,2,20210522,,2,Semi-Furnished,3500000,,Apartment,,Resale,Owner,domcache_srp_52992513
2,2,20210610,,3,Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_55297157
2,2,20210522,,Ground,Unfurnished,7500000,,Residential House,,Resale,Owner,domcache_srp_53776323
1,1,20210423,,2,Unfurnished,1800000,,Apartment,,Resale,Owner,domcache_srp_52652291
2,2,20210623,Ramky Group,4,Furnished,8100000,One Kosmos,Apartment,,New Property,Owner,domcache_srp_52758445
2,2,20210723,,1,Unfurnished,3800000,,Apartment,,Resale,Owner,domcache_srp_54820417
3,3,20210605,,2,Unfurnished,7000000,,Apartment,,New Property,Owner,domcache_srp_41984401
2,2,20210723,,5,Semi-Furnished,3800000,,Apartment,,Resale,Owner,domcache_srp_54903963
3,3,20210723,Dolfine Promoters and Developers,7,Semi-Furnished,9900000,Durga County,Apartment,,Resale,Owner,domcache_srp_54661105
2,2,20210726,,1,Unfurnished,4200000,,Apartment,,Resale,Owner,domcache_srp_48529837
2,2,20210723,,1,Furnished,4800000,,Apartment,,New Property,Owner,domcache_srp_55041855
5,4,20210522,,2,Semi-Furnished,9500000,,Residential House,,Resale,Owner,domcache_srp_50712228
2,2,20210720,Manjeera Construction,Ground,Unfurnished,6200000,Manjeera Diamond Towers,Apartment,,Resale,Owner,domcache_srp_54424559
3,3,20210714,,4,Furnished,12000000,,Apartment,,New Property,Owner,domcache_srp_54748527
3,3,20210717,PVR Developers,1,Semi-Furnished,6200000,Cyber Epark,Apartment,,Resale,Owner,domcache_srp_55308651
2,2,20210723,Pacifica Companies,9,Unfurnished,9300000,Pacifica Hillcrest,Apartment,,Resale,Owner,domcache_srp_53811269
3,3,20210620,ARCA Projects Pvt. Ltd.,3,Semi-Furnished,9400000,Arca Sarovar,Apartment,,Resale,Owner,domcache_srp_55510549
2,2,20210522,,3,Semi-Furnished,3900000,Sri Tirumala Homes,Apartment,,New Property,Owner,domcache_srp_55164059
2,2,20210522,,,Unfurnished,6000000,,Residential House,,Resale,Owner,domcache_srp_55162503
2,2,20210802,Bhuva Teza Infra Projects Ltd,10,Unfurnished,1954000,Happy Homes II,Apartment,,Resale,Owner,domcache_srp_56173997
3,3,20210729,,2,Unfurnished,4400000,,Apartment,,Resale,Owner,domcache_srp_53860623
3,3,20210611,,2,Unfurnished,6600000,,Apartment,,Resale,Owner,domcache_srp_48916181
2,2,20210723,,1,Unfurnished,6000000,,Residential House,,Resale,Owner,domcache_srp_54510953
